text,label
"Sabtu & Minggu / 21:30 WIB • LIVE
JFK OHKA",0
"KILAU KONSER
TV NASIONAL BOLLYWOOD PLATINUM

Senin Rabu Kamis Jumat / 21:30 WIB
Selasa / 21:30 WIB
Sabtu & Minggu / 20:00 WIB",0
"ABB FIA formula WORLD CHAMPIONSHIP
FOOTBALL CLUBS [[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[[
]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]]
3 Juni - 22 Juli ]]]]]]]. NET. & TV NASIONAL
]]]]]]]]]]]]]]]]]]]]]]]] LIVE",0
frfr,0
​ @mxqrrbn_art9258 no insecure cute remove surat mati korban meninggal gizi buruk Umar Bin Khattab di Vatikan pak. Jangan hanya memikirkan Jangan.. Jangan cemburu buta di Negara Israel 🇮🇱. Saya musuh negara tidak hogeng santoso atau Yohanes sugeng riyadi. Sugeng rawuh dan ndalu.,0
"Senin 6 Mei 2024, 21:30 WIB
MUSICIAN
ERUPSI
TV NASIONAL BOLLYWOOD PLATINUM",0
)))))) DW )))))),0
"""SBB"" 
Malam Ini
Mulai Senin 6 Mei, 20:00 WIB • LIVE",0
"Senin, Rabu Kamis & Jum'at | 21:30 WIB
Selasa | 21:30 WIB
Sabtu & Minggu | 20;00 WIB

TV NASIONAL BOLLYWOOD PLATINUM PILIHAN",0
"Mungkin kedepannya bisa di maksimal kan, untuk mencuri hati rakyat😁",0
"Prab w jadi sorotan warganet, waspada musim pemberontakan kepada kedutaan presiden",0
Pa ganjar sama pa anis bobo ajalah nyerang orang mulu😂,1
Prabowo❤,0
"Dia ikut capres 5 kali tidak menang,baru yang ke enam kali nya dia menang sekarang, prab w orang paling kaya menurut saya",0
"2 periode saya memilih pak wo, tp kali ini maaf, karena pak wo cm d jadikan boneka untuk dinasti joker dan antegnya pengkhianat bangsa",0
"Semoga AMIN lgsg umum bebas rahasia, tp knp presiden dan antek2nya memaksa untuk coblos 02?",0
"😅 Ganjar mana Megawati puan Maharani, korupsi itu",0
bapak Prabowo Subianto adalah 🎉🎉 presiden,0
"🤢🤢🤢🤮🤮🤮🤮🤮 udah menang aja buzzernya masih dimana mana, ampas.",0
Prab w kalah kasihan🤧,0
The real sengkuni,0
"Akhirnya anis dan ganjar membawa kekalahan..,,selamat saya ucapkn karena udah pintar ngomong dan apa yg merwka dpt oleh 01 dan 03 rasa sakit nggak bisa tidur",1
7,0
1.52 metode leadership,0
1.18 negativity hutang,0
01 jika punya program .  Sampaikan dn buktikan... JGN MENJATUHKAN,0
01  trnyta jahat... hrsnya jd panutan...,0
"Anies sudah sadar Prabowo jadi Syiwa, dewa yang utama",0
Pintar ngomong kinerjanya sendiri nda sesuai dengan omongannya,1
Anis baru mulai udah nyerang . Anjir ganas banget corotnya  ..,0
"Penyakit atau virus negara yang korupsi,jin negara yang korupsi,jin ifrid dan jin Idris berkeliaran di negara",0
Jelas bgt anis ganjar hnya omon2..,1
Saya berharap pak prabowo bs jd presiden berikutnya .. Sy merasakan ketulusan pak prabowo utk Indonesia..,0
Salut sm pak prabowo..,1
"Muak dengan ketawa anis,,",0
"kayaknya sinis banget Si anis,, apa ada dendam intern ya",0
anies anies makan tu karma ..,0
solo vs squad.. debat apaan ini,0
tv one JANCOK maen potong perkataan bapak prabowo. !,0
💋💋💋❤ prab w,0
"Kalau anis ngomong atau ikut rapat dunia, takut nya pada mau ngebom Indonesia lagi karena songong dan sok pinter",0
Mantap prab w asu kan semua nya gok gok gok,1
"Apa ya yg disukai dr anis ini, astaghfirullah haladzim ga paham lagi, kok ada ya manusia kaya gini",0
"Pak, bukti nyata tanpa omong kosong, dan janji2 manis itu hanya bisa dilakukan oleh bapak,
01 sangatlah merasa pintar sehingga dia rela menjatuhkan orang yang pernah menolong dia tanpa harus dikembalikan, astaghfirullah haladzim ada ya manusia macam itu",0
Preeeet 🤢,0
"Ganj p sudah kalah anis kalah sekarang mereka ronde cawapres, kapan penyerbuan di balai kota presiden, lebih jantan prab w ketika tawuran melawan geng jokowi, sekarang geng jokowi bersatu dengan geng prab w,sak lawase kalau tidak korupsi gua doakan lagi kalau ikut capres",1
ganjar ini aslinya gen kulitnya hitam tp ganjar rutin perawatan 🤣,1
Ganjarukem dan anisa soryyy...yyeee..,0
Anis cerdas sekali berbicara,1
Nanya tentang pertahanan ke menteri pertahanan sekaligus tentara Indonesia. 01 03 kan bukan org militer mana ngerti ttg Perang. 🤣,1
"Inilah yang membuag banyak orang memilih Prabowo ... Dan terbukti kan sekarang ...
Saya waktu awal awal masih ngambang milih siapa ... Tapi setelah berkali kali debat Capres serta debat cawapres .. hati nurani saya langsung melihat dengan jelas bahwa Hanya Paslon 02 Prabowo Gibran yang memilikk kejujuran dan keihlasan hati untuk maju sebagai Presiden dan wakil ... 
Mantaplah saya milih 02 ...
Dan alhamdulilah ALLAH memberikab jawaban yang sesuai harapan saya
Terima kasih ALLAH .... 02 PRESIDEN DAN WAKIL PRESIDEN REPUBLIK INDONESIA",1
"Siapapun presidennya
Kita tetap jadi kuli dunia😅😅",0
"ANIS ASU EDAN juara nya bacot dan ganjar bnar bnar tak ber etika brani brani nya buka rasia negara di dpan publik sungguh tak tau malu ,terlihat jlas dimata nya ingin memenang kn pemilu dan menghalal kn sgala cara sok bersih pdahal dia lbih mnjijik kn CUHHHH ,sala waras pilihn ku tetap pak prabowo 02✌✌✌✌✌",0
"Ganjar Pranoto kalah anies qaswedan juga kalah,prab w banyak uang nya ikut capres 3 kali sekarang menang, apakah punya dendam sama rakyat,plis jangan dendam sama rakyat, tolong jangan korupsi, subur kan Indonesia dengan hujan uang, gua dukung lhu lagi jadi presiden yang akan datang asal hujan uang nya deras",1
"Nonton debat setelah pemilu, tapi menurut saya mah yang paling mending debatnya ya pak anies ya😅",0
"Pak Prabowo lengkap..
Salam pembukaan lengkap Islam, Kristen, hindu, Buddha.",0
Topiknya yang terpilih kayak disengaja banget buat menyudutkan pak prabowo dengan alih-alih debat,0
Si Anies mbulet kayak benang kusut 😊😂,1
pd dikti now,0
"Kayak nyari"" kesalahan",0
Ini Anis parah banget terlalu menyerang pribadi etika nya udah kelihatan kamu Anis  tadi nanyak etika tapi etika anda  ngaca dulu ya,0
"Flash back liat debat presiden ini
01 & 03 presiden koq doyan nyinyir yaa 🤣🤣🤣

01 & 03 ketauan bodohnya yaa
Sangat wajar kalo hasil pemilunya jauh di bawah rata-rata
Kasian banget ini paslon 01 & 03
Kabar terakhir pendukungnya pada demo karna merasa dicurangi wkt pemilu 🤣🤣🤣

Kasian banget yaa.. harusnya para pendukung 01 & 03 berkaca dari video debat capres ini
Bukan malah teriak-teriak pemilu curang
Kasian banget deeh 🤣🤣🤣",0
"Ini Anis ngapain nanyak pribadi ya ,kampret bnget",0
"Semangat pak prabowo, makasih udah berjuang sampai pak prabowo jadi presiden🎉🎉❤❤",0
"Anis ini nyalain orang truss😂  tapi dia GK ngaca apa kabar Lo untuk jadi gubernur Jakarta 😂 GK ada hujan aj bisa banjir😂😂 yaallah dulu aku milih dia Lo jadi gubernur nyesel aku sumpah 😢 janji"" palsu!",1
Amin 🤲,0
Mamam tuh joget 😂,1
"? itu udah disampaikan, otak lo yang ga mampu mencerna",0
"Pak Prabowo maju sebagai capres dengan wakil nya Gibran yg melanggar kode etik , itu sudah cara pak Prabowo menghalalkan segala cara untuk bisa menang di pilpres 2024",1
"yang lu pilin, ngehalalin SEGALA cara buat nyalon, nabrak MK, NYOGOK KPU, malu. minimal malu ngomong kaya gini",0
Mantap 😅,1
Prabowo ❤,0
P ANIS GANJAR 17/100 25/100,0
"Dulu saya .pilih 01 .tp setelah deban suka mengolok"" hati saya jadi berpaling 02",1
Emang prestasi ganjar apa sih😂,1
"Berdirilah tanpa menjatuhkan, lucu aja liat 01 sama 03.banyak pake data ujungnya kalah juga😂😂😂😂😂😂
Wkwkwkkk kasian",1
Plb.,0
"03 gayane... 🤣
akhirnya nyungsep😂",1
aduh gak taat aturan bahh,0
"justru gaza rakyat yg paling kuat pak, 70an taon gak bisa dijinakin oh bapak🤦🏻‍♀️",0
"Brahma Wisnu Syiwa sudah berkumpul, pujilah dewa rakyat wahai capres",0
Ganjar baperannnnn,0
Kesetiaan kepada rakyat kata Bpk Prabowo,0
Duh pak prabowo tinggal jawab apa yg di tanya oleh pak anis malah ngeles gak pantas bahas etik tinggal jelaskan bukan lari😅,0
seperti omongan maniss aja *amin,0
"Kata Prabowo inflasi kita rendah,liat sekarang, inflasi kita tinggi pak, Prabowo nggk tau apa,apa arti dari kata inflasi 😂😂",1
"Saya dulu punya cita-cita pertama yang di impikan yaitu jadi pemain sepakbola profesional, kalo impian saya tercapai masuk timnas Garuda, bermain di Eropa, juara Piala AFF/Asia sudah berjanji sepenuhnya..... saya akan memeberikan hukuman yang setimpal bagi para koruptor, membangun rumah sakit, sekolah, masjid, dan bantuan sosial bagi orang tidak mampu, itu lewat sepakbola yang saya cita-citakan dan impikan. Yaeahh sekarang apalah dayaku ini, hanya sebatas angan-angan saja yang bekerja seorang buruh pabrik hanya sebuah mencari uang, daripada menganggur tiada guna dirumah, hidup memang tidak adil jadi biasakanlah seperti diriku.🥺💔🥀",1
Waduh serius nyesel gak nonton debat pertama capres.😭💔,0
Sayang banget gua golput😢😢,0
Cobaa aja pak bowo mau ungkit² kekurangan/kegagalan anis dn ganjar😂🤣 auto sangat memalukan😭😭😭😂,0
ayo madyarakat ibdonesia  satukn hati n pilhan  no 2 Prabowo Gibran,0
lu yg gatau apa2 jelas2 ini debat in pak prabowo bukan debat soal negara,0
Bukti kerja kmariny apppaa yaa... NYATA3 SMPE AKRG INDO GK MERDEKA MASIH DIJAJAH JGA EKONOMINYA N HANCUR BUMN NYA SEMUA DIJUAL KE CINA..,0
Konsisten dan ikhtiar dari bulan juni 2023 tetap pak prabowo❤,0
01,0
"Alhamdulillah..
Semoga Terwujud Presiden Jujur Cerdas Amanah Berani.. Untuk Indonesia..
Aamiin...",1
Prabowo no anies yes,0
02 🔥🔥,0
abah anis ❤,0
"di derah saya pengurus²nya merasa menjadi org² yg mampu, tanpa melihat masyarakat yg ada d lingkungannya
pengurus dari mulai Rt / RW / DESA termasuk pegawai²nya pada cuek ketika saya mau mendaftarkan DTKS sudah hampir 2th lebih belum ada hasil entah tdk d proses pengajuan saya sama pekerja DESA , saya mencoba menghubungi pegawai desa itu mengabaikan tdk merespon
saya harap abah anis bisa membereskan keluhan saya , tgl 8 Abah Anis k garut, semoga selalu d beri kesehatan dan kelancaran, yassarallahu umuurakum Abah
desa tanjung kemuning tarogong kaler garut",0
"Mantap pa,Prabowo",1
Uu,0
✌✌✌✌✌✌,0
"wes pak prabowo jawaben dari hati aja, santai aja,  selanjutnya sampean tak coblos...",0
"01 presiden, perubahan perlu",0
Semua nya omong kosong 😂😂😂😂,0
❤,0
1,0
Amin ttp pilihan ku,0
❤❤❤❤ 01 Anis menang 1 putaran,1
"Klo sya nilai dari debat debat yg sudah dilakukan, ganjar smakin berani ngomong, anis masih tetap dalam berbicara, prabowo semakin bernaluri meyakinkan masyarakat.
Tapi temanya seperti itu itu aja rasanya sampe ada jawaban yg terulang.",1
Pak Bowoo,0
Kalau dah bawa² Palestina jadi topiik. I dah habak dah akhirnya. Tau bgt org indonesia sensitif sama topik tu,0
"bagaimana jia pak prabowo nanti maf sudah tidak kuat? 🙏 saya mungkin tidak memihak siappun, tp melihat beliau sudah semakin tua. aoakah klian tidak berfikir? hehe",0
prabowo presidenku,0
"Emas semakin digosok akan semakin mengkilap, semakin yakin keiklasan hati utk memilih pak prabowo sebagai presiden RI 2024.",0
"Kita benar harus kuat bertekat sama sama seluruhnya seperti dulu tekat ingin merdeka.dulu kita tertindas terjajah karna paktur ekonomi & kebodohan/pembuduhan yg di samarkan.kini pun kita ingin merubah tarap ekonomi/ingin memperbaiki ekonomi,jangan sampai terjadi/terulang pembodohan,/penyAmaran... dalam tanda kutif....!!!!🙏🙏",1
"Jgn pilih 01sdh jelas di hatinya selalu  menyerang dan menyakiti hati lawan debat , visi misi yg di sampaikan selalu gk masuk akal ,,dan omon omon kosong",0
"Visi misi dan program yg di sampaikan Anis Baswedan, terlalu dungu gk masuk akal, seharusnya debat yg di sampaikan malam hari harus lebih berbobot.! Dan ini bisa menarik hat.!i dan bisa jadi perhatian publik yg mau dukung tidak ragu2",1
"1:20:26 misanya, membuat karya seni bambu getah getih yg memakan anggaran 550jt dan hanya bertahan selama 11 bulan dan menjadi sampah...😅",0
✌️✌️,0
Yang ini sudah Lewat bro..ngapain itu aja di tampilkan..yang belum belum itu bro..,0
Debat pilpres pak prabowo selalu emosional tidak memunculkan gagasan utk membawa perubahan dan memperpanjang kerusakan kekuasaan Jokowi kemiskinan utk rakyat indonesia,0
Lier anissss lier ahh kumaha😅,0
"Coba nanti di debat kelima di kasih moment berdebat pakai bahasa asing, kan gda salahnya",0
Dp 0%,0
sama jgh pa ganjar hax bax omongan2 sjh..02 ttap d..atas yg lain k..laut joh😅😅😅😅😅😅😅,0
😂😂😂😂😅😅😅😅kata2mu itu bohong smuax pa anis..😅😅😅,0
P,0
"Gampang saja
Pilih no 1 jika ingin pemerintahan beda dengan yang sekarang karena kelihatannya pak anies menganggap program pak jokowi tidak benar/bagus (koreksi jika salah)
Pilih no 2 jika ingin program"" Pak jokowi dilanjutkan (koreksi juga jika salah)
Kalau no 3 aku kurang tahu jadi bagi yang tahu bisa dimasukkan ke balasan komentar saya",0
Amin,0
"untuk tersangka lain mereka pada punya saksi tapi buat danu cukup repot  karena dia tidak punya saksi satu pun baik sebelum atau pada saat kejadian dan juga sesudah kejadian,",1
"Buktikan kalau jadi presiden suka dekat dengan rakyat, suka mberi, bicara nya tidak menyinggung rakyat",1
"Isi otaknya hnya mnjatukn dg mnjlekkkn ,otak para bnr"" sy bnci kedua org ini,smga stelah kala tdk punya jabatn apa"" mau nunjukin wawasan mala bgurusin prtahanan dg nilai yg bnr"" miris, klo emg prtahanan nilainya satu, mgkin negara ini sd di ambang pnjajahn untuk kedua kalinya",0
"Cinta di mulut to bpk brdua ini , bnr"" ud gk punya akal sehat, pertahanan mau di buka paraaaaaahhh bnr""para",1
"Gua masih di ambang awan dan sinar,harus pilih bintang yang mana",0
"2:12:45 his smile is so.. <3
2:19:00 anies vs omon²
2:20:10 kelazz kingggg
1:50:27 his smile <3
2:10:08 kinerja menhan",0
"Tapi kami tetap akan memilih bapak PraBowo,Bapak PRABOWO & Gibran,jangan takut,jangan panik,kami akan tetap mendukung Bapak PRABOWO & Gibran.",0
"Masyarakat tau siapa yg harus jadi pemimpin,pilih ikut kata Hati & ikut apa yg sudah nampak terbukti,bukan manis mulut bagi janji2 sebelum dpt jambatan, Semoga Presiden INDONESIA bersikap adil,dan buktikan,semoga amanah,Amin",0
"Saya TKI di Malaysia,siapapun jadi Presiden INDONESIA,kami berharap untuk dipermudah& disediakan bagi seluruh rakyat Bangsa Indonesia lowongan pekerjaan tanpa melihat status pendidikan,Batas umur pensiun 60thn seperti warga negara di Malaysia,tidak membedakan Tinggi&Berat Badan, Contoh: Untuk kerja di Restoran saja harus menarik,tidak boleh umur diatas 25thn,harus ada ijazah D1,S1,dan seterusnya,jadi bagaimana bagi kami Rakyat yg tidak mampu untuk sekolah tinggi?????",0
tidak bisa menanggapi dan mudah tersinggung wkwk,1
"Kami anak tambang Lebong, propinsi Bengkulu sepenuh hati siap dukung,  Prabowo Gibran❤️❤️🔥🔥",1
Mustahil banget anis jadi presiden  aku yakin bngt ga bakal jadi presiden    presiden kalo ga pranowo ya prabowo,0
"Politik membawa bencana, bisa membuat musim kemarau uang",0
🤟🤟🤟,0
Pendukung paslon dua gak bisa menyingkapi kayaknya,0
"Gue pilih prab w karena suka memberikan mainan pesawat kepada Indonesia,sayangnya tidak ada kereta tempur",1
"Hanya Pak Jokowi yg bisa menghadapi Bu Mega, walau sebagai anggota partai. Tapi saya belum yakin kalau Pak Anis ke Pak Paloh dan Pak Ganjar ke Bu Mega bisa menghadapi atasan partainya seperti PakJokowi. Just saying. Let's we think about it.",0
Dasar sengkuni 45:33,0
klo saya milih yg tegas terbukti dan punya jasa ke INDONESIA RAYA dari pinter ngomong dan tidak punya jasa di INDONESIA RAYA,1
Anis dan ganjar cocok jd presiden,0
Pak. Perabowo semangat,0
2,0
"semakin memusingkan antara memilih pak ganjar atau pak prabowo.. keduanya memiliki kemungkinan yang baik, tetapi saya sangat menyukai gagasan dan komunikasi pak ganjar untuk menginfluance audiance.. tahun ini saya belum bisa memilih calon presiden, tetapi sebagai anak muda bangsa, saya berharap orang-orang dewasa tidak terpengaruh dalam memilih pemimpin bangsa. saya sangat berharap orang-orang dewasa bisa mewakili suara kami secara pasti terhadap penilaian yang ada, tanpa terpengaruh dengan hasutan media sosial yang saling menjatuhkan. pesan saya, pilihlah yang tidak hanya berfocus pada pangkat tetapi yang berfocus untuk siapa pangkat mereka diperjuangkan, yaitu seluruh rakyat Indonesia TANPA PENGECUALIAN. yang memperdulikan banyak sektor masyarakat dan bukan hanya berfocus pada salah satu sektor saja, karna itulah alasan rakyat memilih seorang pemimpin. NASIB BANGSA ADA DI SUARA KITA, PIKIRKANLAH BAIK-BAIK AKAN KEMANA NEGARA INI DIPIMPIN. MERDEKAAA!!!!!",1
Kemarin malem aku bermimpi prab w menang sumo dengan ganj p,1
"Justru Dengan Mereka sering menjatuhkan Pk prabowo, sneaking Mereka nunjukin kelemahannya... 

Salam 2 jari 😍😍",0
Salut sama pak  prabowo....,1
Nmor 2,0
"Mohon maaf kita kita orang se Indonesia tidak bisa pilih prab w, kita kita pilih sumo",0
Etik yg tertinggi yg disampaikan pak prabowo jdi terbaca kalau pak prabowo tau bgt ttg karakter seseorang yg sesungguhnya.,0
Sy menetapkan pilihan pada pak prabowo. Semoga menang 1 putaran,1
Nomor 2,0
Perbowo presiden ku,0
Ya Mantap Prabowo . Kesindir tuh 01 . Dari cara bicaranya Pak Probowo sdg menahan marah tp good Pak tetap sabar jgn kepancing .,0
Geli gaya ngomongnya Anies,0
cara alloh membukakan hati rakyat agar tidak tertipu .terimakasih ya alloh .inshaalloh 2024 pak prabowo presiden Indonesia. aamiin yaa mujibassailin,0
"satu pesan saya pada pak prabowo ,jika anda terpilih sebagai presiden mohon jangan rangkul anies bawesdan dalam pemerintahan negeri ini .jangan beri dia jabatan apalagi jabatan penting.sebab dia sangat sangat berbahaya dan membahayakan indonesia.kembalikan dia sebagai rakyat biasa.yang hidup dari kerjakeras dan.perjuangan tenaga bukan suara nya bukan pula kelicikannya dalam bersiasat.benar bapak bilang cinta tanah air harus diatas kepentingan pribadi.anies tidak punyai itu dihati dan fikirannya hanya ada ambisi untuk bagaimana menjadi pemenang.saya hanya rakyat kecil.saya cinta Indonesia baik2 saja.jaga Indonesia untuk rakyat Indonesia.agar Indonesia tetap selalu berdiri sebagai tanah air kita tercinta.jangan pilih orang yang tidak jujur.tidak bersih hati dan fikirannya.apalagi mengambil resiko menjadikan pertahanan negara sebagai konsumsi umum adalah sangat2 tidak benar.rumahmu adalah indonesia bagaimana mungkin kamu bisa ceroboh mendedahkan rahasia pertahanan dan keamanan rumahmu.maling tidak mengenal waktu.setiap saat maling menunggu kapan.kamu lalai.alhamdulillah kita masih punyai orang yang.loyal dan berjiwa ksatria seperti pak.prabowo.semoga alloh memberkati setiap perjuanganmu 02 insyaaalloh menang.orang yang paling berbahaya adalah orsng munafik.jangan lah bapak memilihnya sebagai teman.hati2 selalu disetiap langkahmu.semoga bapak selslu sehat dan.panjang.umur.insyaaalloh yaa mujibassailin aamiin.",1
Kami butuh perubahan bersama amin😅,0
Gua pilih pasukan penyerbuan tawuran prab w,0
"tau ga apapun yg di ucapakan pak anies yg di kerjakan pak anies,fakta dan ada bukti nyatapun pedukung paslon 2 tetap tutup mata tutu telinga yg lebih parahnya menutup hatinya.mereka selalu bilang pak anies hanya banyak omong doang janji manis,tapi mereka tidak sadar kan calon yg mereka dukung,apa calon yg mereka dukung sudah membahagiakan rakyat kecil.memilih boleh tapi seharusnya untuk pemimpin indonesia harusnya berpikir banget siapa yg pantas,ini bukan hanya untuk kita,keluarga,saudara maupun cucu kita nanti,setiap kebijakan yg di buat dampaknya akan terasa untuk rakyat.ambil contoh seperti menaikan pajak di saat upah tidak naik signifikan akan kebutuhan hidup,harga pangan yg mahal karna impor,pemerintah tidak bisa mengendalikannya.wahai saudaraku setanah air indonesia semoga bisa memilih dengan bijak dan cermat🙏🏻",1
Kita d 2:10:52  dukung pak prabowo✊,1
"Prab w prab w buktikan ototmu💪, buktikan keganasan mu kalau kalah lagi 🛠😁",0
Anis muka lo antagonis banget,0
"my mom said ""org yg dulu jahat gk selamanya jadi jahat, kalau dia punya niat dan dapat melaksanakan untuk berubah pasti akan berubah""",0
all in buat ketua ipsi 😻😻😻😻👍🏻,0
"Lucu bandingin pesawat tempur era Sukarno di wilayah irian, yg jelas2 dimasa itu ekonomi Indonesia tidak sebaik sekarang😂",1
"CEMAS KAU DEK DEK, PAK ANIESS ALWAYS COOKING 🤣🤣🤣 EL CHEF",1
Udah yakin pilihan 01 aminn❤,0
"Ketegasan menjaga kerahasian negara itu penting.. 
Di setiap negara tidak semua hal negara yh berahasia itu di beberkan 
Klo itu sampai terjadi mungkin setiap negara tetangga akan tahu pisi misi kemiliteran NKRI 
Karna itu sangat penting untuk menjaga kedaultan Pertahanan NKRI.... 
Politis me hanya tahu bicara ngoreksi mencari2 kesalahan kinerja setiap para mentri 
Ingat kejujuran 
Ketegasan 
Etika berbicara
Etiaka menyapa setiap suku dan agama 
Terutama cinta rakyat nya... 
Saya bangga sama pa prabowo yang  tetap menjaga kerahasian pertahanan nkri... 
Demi kedaualtan indonesia...",1
Anis cungar cengir ngarti kaga,0
Omon😂,1
"Data data barang bekas Indonesia: kerusakan rel kereta api, rusak nya mesin dan berkarat nya mesin kereta api, barang bekas berserakan di lautan, rusak nya kapal kapal karena terlalu purba mesin nya, rusak nya bis bis karena lama tidak di servis, rusak nya pesawat karena tidak di rawat di bengkel, hancur nya satelit karena terlalu lama, macetnya semua senjata karena penipuan pihak asing seperti tank dll, semua itu bisa mencelakakan rakyat,mau nambah barang bekas untuk apa, kita buat sendiri gimana? semua sarana kendaraan terbang dan darat agar kita aman dari penipuan dan kecelakaan, nggak punya modal minta sama Jokowi, jangan lupa minta kepada Sukarno, karena Sukarno maha presiden kita",0
"kaget bgt dgr statement akhir visi misi pak prabowo...""...seperti gaza..."" itu gak perlu pak :(",0
Anies ❤❤,0
"Bagi aku sih orang pengen berbuat baik pakai dana pribadi buat negara sah sah aja.selagi tidak merugikan negara dan berdampak positif ke masyarakat.katanya ngx boleh harus ada izin dulu.
Lah yg sudah pakai izin malah merugikan negara lol 🤣🤣 demi kepentingan pribadi 😂",1
"Harga pokok di turunin wajar, kalau pabrik nya punya capres jangan di jual gratis saja, sembako nya, please sodaqoh yang banyak,terutama uang, yang ada nanti harga semakin tinggi, dan semua nya harga nya juga tinggi, itu pasti,kapan berpolitik surga,politik harga sudah di rencana kan, lalu kapan politik ingin masuk surga,bertele tele,terlalu banyak argumentasi, saya lebih suka orang capres banyak sodaqoh, dari pada ber argumentasi tentang harga, karena pemberian nyata tidak nampak,terutama capres nya agar terlihat wibawa dan di sanjung masyarakat Indonesia, seperti Suharto kita harus mencontohnya agar kita di pilih terus, nggak masuk nggak masuk argumentasi nya no 🚫, sodaqoh yang banyak kalau sudah jadi presiden, untuk rasa Terima kasih kepada rakyat, karena terpilih jadi presiden,belum jadi sudah memikirkan harga, apalagi sudah jadi, kasus semua nya harga apa saja,naik tidak naik sama saja,karena harga pasti mengikuti harga, tolong pahami, jangan suka buat kasus",0
Dukung yg bisa nurunin harga bahan pokok terutama BERAS itulah yg harus kita pilih🙏,1
"anis kalau bagian cakap memang no 1 hahahaha mau 01 mau 03 saya tetap pilih no 02,,, insyaallah jadi presiden❤",0
"Seharusnya, jika memang ada bukti nyata, bisa menjawab dengan baik hasil kinerjanya selama 5 tahun. 
Tidak perlu mengejek si penanya dengan kalimat, ""omon-omon"", sungguh tidak pantas di debat formal seperti ini.

Lagipula pemimpin sangat diharuskan untuk banyak omong.
Agar yang dipimpin paham dan semangat dengan tugasnya.
Agar yang dipimpin sadar bahwa pemimpinnya sangatlah cerdas dan memiliki banyak gagasan serta inovasi.",1
"Itu dilarang di dalam peraturan, anggota DPR sudah mengkonfirmasi itu",0
"Naikin gaji pejabat aja, agar pejabat makmur dan tidak korupsi🙏",1
"Wahhh, banyak buzzerrr
Tapi kalau saya sih bukan yaa

Insyaallah Pak Anis, orang cerdas, jujur, memihak rakyat kecil dan gigih seperti Anda akan dibantu oleh Allah untuk memimpin Indonesia menuju perubahan dan kemajuan

Tenang saja Pak Anis, meski Bapak tidak mau menyewa buzzer, kami Rakyat Indonesia yang sudah paham betapa banyaknya prestasi bapak selama menjadi Gubernur DKI Jakarta, akan dengan sukarela membantu Bapak menuju kemenangan

Lewat sosial media, lewat diskusi, dan lewat Do'a di setiap sholat kami, 
InsyaAllah kami akan mendukung Bapak secara penuh

BISMILLAH AMIN ALL IN😇☝️",1
All in prabowo,0
All in prabowo✌️❤,0
